gw0_x,gw0_y,an0_x,an0_y,an1_x,an1_y,en0_x,en0_y
0,0,0,0,0,0,0,8
node_id,packet_id,rssi,snr,timestamp,ticks,temp,humi
AN1,00193,-78,7,1760677457,144286050,40.9,27.6
GW0,00194,-79,8,1760677487,141845587,39.8,29.3
AN0,00194,-71,8,1760677487,141846081,39.8,29.3
AN1,00194,-86,4,1760677487,141845822,39.8,29.3
GW0,00195,-78,8,1760677517,138843484,39.4,29.6
AN0,00195,-68,8,1760677517,138843222,39.4,29.6
AN1,00195,-81,5,1760677517,138843272,39.4,29.6
GW0,00196,-82,8,1760677547,136563320,39.7,29.2
AN0,00196,-71,7,1760677547,136563004,39.7,29.2
AN1,00196,-80,7,1760677547,136563276,39.7,29.2
GW0,00197,-77,8,1760677577,133390910,39.8,29.1
AN0,00197,-71,7,1760677577,133390780,39.8,29.1
AN1,00197,-81,7,1760677577,133390996,39.8,29.1
GW0,00198,-79,7,1760677607,130104455,38.9,30.3
AN0,00198,-69,8,1760677607,130104246,38.9,30.3
AN1,00198,-82,6,1760677607,130104003,38.9,30.3
GW0,00199,-74,8,1760677637,126499306,38.4,30.1
AN0,00199,-74,7,1760677637,126499203,38.4,30.1
AN1,00199,-84,4,1760677637,126499107,38.4,30.1
GW0,00200,-77,7,1760677667,123881058,38.7,30.9
AN0,00200,-74,7,1760677667,123881315,38.7,30.9
AN1,00200,-82,6,1760677667,123880967,38.7,30.9
GW0,00201,-76,8,1760677697,121238876,39.4,29.0
AN0,00201,-73,7,1760677697,121238954,39.4,29.0
AN1,00201,-81,7,1760677697,121238768,39.4,29.0
GW0,00202,-80,7,1760677727,119208534,38.8,29.5
AN0,00202,-74,8,1760677727,119208767,38.8,29.5
AN1,00202,-83,6,1760677727,119208644,38.8,29.5
GW0,00203,-78,8,1760677757,118202700,38.1,31.5
AN0,00203,-73,8,1760677757,118202852,38.1,31.5
AN1,00203,-79,6,1760677757,118202647,38.1,31.5
GW0,00204,-76,8,1760677787,116406116,39.1,31.2
AN0,00204,-74,7,1760677787,116406116,39.1,31.2
AN1,00204,-82,6,1760677787,116406063,39.1,31.2
GW0,00205,-77,7,1760677817,114699777,40.1,29.1
AN0,00205,-73,7,1760677817,114700203,40.1,29.1
AN1,00205,-85,5,1760677817,114700149,40.1,29.1
GW0,00206,-75,7,1760677847,114013632,40.7,28.7
AN0,00206,-73,7,1760677847,114013494,40.7,28.7
AN1,00206,-81,7,1760677847,114013346,40.7,28.7
GW0,00207,-76,8,1760677877,112800790,40.9,28.6
AN0,00207,-73,8,1760677877,112800515,40.9,28.6
