gw0_x,gw0_y,an0_x,an0_y,an1_x,an1_y,en0_x,en0_y
0,0,85.9,-107.3,30.5,-154.1,10.8,-16.3
node_id,packet_id,rssi,snr,timestamp,ticks,temp,humi
GW0,00083,-70,8,1760328914,274365291,32.3,43.6
AN0,00083,-96,-6,1760328914,274365202,32.3,43.6
AN1,00083,-80,6,1760328914,274365496,32.3,43.6
GW0,00084,-70,8,1760328944,274643661,31.9,45.0
AN0,00084,-92,-2,1760328944,274643428,31.9,45.0
AN1,00084,-79,6,1760328944,274644095,31.9,45.0
GW0,00085,-70,8,1760328974,274038640,31.7,44.9
AN0,00085,-89,-2,1760328974,274039044,31.7,44.9
AN1,00085,-77,5,1760328974,274039595,31.7,44.9
GW0,00086,-70,8,1760329004,273877108,31.5,44.7
AN0,00086,-91,-3,1760329004,273877247,31.5,44.7
AN1,00086,-78,6,1760329004,273877486,31.5,44.7
GW0,00087,-70,8,1760329034,273147827,31.4,45.3
AN0,00087,-91,-1,1760329034,273147618,31.5,45.3
AN1,00087,-78,5,1760329034,273147975,31.5,45.3
GW0,00088,-70,8,1760329064,272862505,31.4,45.4
AN0,00088,-93,-3,1760329064,272862864,31.4,45.4
AN1,00088,-80,6,1760329064,272863417,31.4,45.4
GW0,00089,-70,8,1760329094,271916354,31.5,45.8
AN0,00089,-89,-2,1760329094,271916765,31.5,45.8
AN1,00089,-80,6,1760329094,271916994,31.5,45.8
GW0,00090,-69,7,1760329124,271951124,31.6,45.0
AN0,00090,-92,-2,1760329124,271951339,31.6,45.1
AN1,00090,-78,5,1760329124,271951591,31.6,45.1
GW0,00091,-70,8,1760329154,271344904,31.8,45.0
AN0,00091,-94,-3,1760329154,271345136,31.8,44.9
AN1,00091,-79,6,1760329154,271345457,31.8,44.9
GW0,00095,-69,8,1760329274,262107172,32.6,44.6
AN0,00095,-92,-2,1760329274,262107392,32.6,44.6
AN1,00095,-79,6,1760329274,262107888,32.6,44.5
GW0,00096,-68,8,1760329304,259565617,32.8,43.4
AN0,00096,-94,-3,1760329304,259565302,32.8,43.4
AN1,00096,-79,6,1760329304,259565799,32.8,43.4
GW0,00097,-70,8,1760329334,256446518,33.0,43.6
AN0,00097,-93,-2,1760329334,256446025,33.0,43.6
AN1,00097,-79,5,1760329334,256446528,33.0,43.6
GW0,00098,-70,9,1760329364,253809246,33.3,42.1
AN0,00098,-93,-3,1760329364,253809215,33.2,42.1
